# Mean_Fitness,Std_Dev,Top_1_Fitness
1.008560753480077494e+02,6.683417379088847099e+01,1.297582552064977790e+01
1.095456360347052112e+02,6.975171986682595104e+01,1.297582552064977790e+01
1.032781408009091990e+02,6.003128814227025600e+01,1.297582552064977790e+01
1.201672833938516334e+02,6.499002427605705634e+01,1.297582552064977790e+01
9.633712985766484849e+01,6.804998917404492431e+01,1.297582552064977790e+01
1.056292765982454114e+02,5.959974428189522655e+01,1.297582552064977790e+01
1.079594626534505579e+02,5.911170598319163361e+01,1.297582552064977790e+01
9.568126510747451618e+01,6.607909808607831792e+01,1.292267588617762897e+01
9.869068199313798573e+01,6.338160839343404973e+01,1.292267588617762897e+01
1.104790863781755235e+02,6.269397542733569395e+01,1.270453273302442199e+01
1.153337347053939936e+02,6.007870601588358994e+01,1.270453273302442199e+01
1.003639148476586342e+02,5.705784305251134469e+01,1.270453273302442199e+01
9.845368754707088499e+01,6.232323302321761815e+01,1.270453273302442199e+01
1.027250962888093255e+02,6.359268247574730992e+01,1.270453273302442199e+01
1.207638871352592105e+02,7.046621407242206203e+01,1.270453273302442199e+01
1.113041184308317924e+02,7.168616940218552713e+01,1.270453273302442199e+01
1.127210023236735879e+02,6.256233233750535305e+01,1.270453273302442199e+01
1.119471688389216553e+02,6.414262379741816744e+01,1.269967949828570397e+01
1.162385901446393035e+02,6.703097196225989762e+01,1.269967949828570397e+01
8.896283981142953223e+01,6.438836056599841129e+01,1.269967949828570397e+01
1.210097999557961685e+02,7.971082179120287492e+01,1.265348720457049581e+01
1.151192967831582763e+02,7.315169894614794543e+01,1.265348720457049581e+01
1.014985717954079973e+02,6.180057009597303619e+01,1.265348720457049581e+01
8.603366943778146947e+01,6.780205232007354255e+01,1.265348720457049581e+01
9.289177319879709671e+01,6.929658876934982459e+01,1.265348720457049581e+01
1.232853260180128530e+02,7.291636256082632883e+01,1.265348720457049581e+01
1.039613047696188488e+02,7.025576385384059108e+01,1.265348720457049581e+01
1.136371829935364985e+02,5.927184560429030569e+01,1.265348720457049581e+01
9.760247810529025969e+01,7.308508706566446733e+01,1.265348720457049581e+01
1.030479420551627783e+02,7.009984942364586402e+01,1.265348720457049581e+01
1.119661505497114433e+02,7.352605335576468804e+01,1.265348720457049581e+01
1.127046280507573499e+02,5.740921905957642224e+01,1.265348720457049581e+01
9.284881308797812949e+01,7.007863498671915181e+01,1.265348720457049581e+01
1.312468165280446897e+02,5.984086747990876631e+01,1.265348720457049581e+01
1.214500046795010633e+02,5.347166621109969498e+01,1.265348720457049581e+01
1.238937452139899023e+02,6.175357045333302608e+01,1.265348720457049581e+01
1.161875386081034804e+02,6.442286355162426048e+01,1.263899201725762111e+01
1.132504719463883305e+02,6.344545154236784157e+01,1.263899201725762111e+01
1.082291994143373870e+02,5.778328443782702806e+01,1.263899201725762111e+01
1.213549025581497460e+02,5.175422307350021356e+01,1.263899201725762111e+01
1.225526509769820223e+02,5.099087981599858210e+01,1.263899201725762111e+01
1.182338466385993314e+02,6.445071950866146437e+01,1.263899201725762111e+01
1.173892964426578800e+02,5.900331849907286852e+01,1.263899201725762111e+01
1.391806214382937981e+02,5.770967312886547518e+01,1.263899201725762111e+01
1.019355791875608332e+02,5.975215568372690456e+01,1.263899201725762111e+01
1.147354672172570673e+02,7.512342840983689030e+01,1.263899201725762111e+01
8.629442957675239256e+01,7.152035197658842947e+01,1.260077819655134590e+01
8.852912255038799572e+01,7.091340387577075433e+01,1.260077819655134590e+01
1.224473462347203139e+02,6.943149153890524872e+01,1.260077819655134590e+01
1.303516926237518874e+02,6.541508739457385957e+01,1.260077819655134590e+01
8.190700821225493655e+01,6.957038577932623014e+01,1.257751651348856115e+01
1.223654320092344534e+02,6.927598181752229323e+01,1.257751651348856115e+01
1.077109789563048281e+02,7.186203032757471476e+01,1.257751651348856115e+01
9.020663962111635215e+01,7.499338354908421422e+01,1.257751651348856115e+01
9.071752679505220840e+01,7.423608368619177611e+01,1.257751651348856115e+01
7.793011787980741190e+01,6.451946493358995838e+01,1.257751651348856115e+01
9.296125787423031284e+01,6.381398327914143209e+01,1.257751651348856115e+01
9.372426521885839179e+01,6.801524506195531217e+01,1.255273856151710277e+01
1.193089471687630123e+02,6.997978895828852330e+01,1.255273856151710277e+01
1.135275298751477777e+02,5.541367246033202321e+01,1.255273856151710277e+01
1.274027157262070205e+02,6.292394161455850110e+01,1.255273856151710277e+01
1.080435724901444274e+02,7.576278364851695812e+01,1.255273856151710277e+01
8.588418595894556518e+01,7.250917725109661660e+01,1.255273856151710277e+01
1.131074990844405903e+02,7.538342885929684201e+01,1.255273856151710277e+01
9.634575525292680709e+01,5.500744129160123919e+01,1.255273856151710277e+01
8.618075286266473256e+01,6.262462458700281331e+01,1.255273856151710277e+01
8.357352462117819414e+01,6.801969675753606737e+01,1.255273856151710277e+01
8.031885778196703995e+01,6.692349421612200899e+01,1.255273856151710277e+01
9.486571769406006638e+01,7.216936706073978769e+01,1.255273856151710277e+01
1.069196572629570738e+02,7.450841294262259851e+01,1.255273856151710277e+01
1.285372576316766811e+02,5.571897635812767646e+01,1.255273856151710277e+01
9.673012174245445749e+01,6.157063183477666968e+01,1.255273856151710277e+01
9.706412814962428115e+01,7.259777989664814868e+01,1.022905048903234615e+01
9.160128020959302830e+01,6.492786196136681554e+01,1.022905048903234615e+01
8.465122675724062162e+01,6.524161730760495459e+01,1.022905048903234615e+01
1.137378412177283735e+02,6.708984002597209440e+01,1.022905048903234615e+01
1.255929180576596593e+02,6.804632679255705341e+01,1.022905048903234615e+01
9.758677235495937907e+01,6.930869106735539731e+01,1.022905048903234615e+01
9.680874346476498715e+01,7.632661144971223166e+01,1.022905048903234615e+01
8.849235181998599842e+01,7.575655695461058770e+01,1.022451988939496914e+01
9.425276051263365673e+01,7.777322756734105269e+01,1.016077930481607439e+01
8.965975802380904724e+01,6.852867575255507404e+01,1.016077930481607439e+01
8.444155939262870447e+01,7.190766429085340405e+01,1.016077930481607439e+01
9.704128505350884382e+01,6.888457125386179314e+01,1.016077930481607439e+01
1.065965190776289546e+02,7.881734578660257284e+01,1.016077930481607439e+01
1.052814290903785661e+02,7.093612697613043849e+01,1.016077930481607439e+01
1.166404075968825538e+02,6.225201892040948337e+01,1.016077930481607439e+01
9.330292513781212449e+01,6.467278105683372758e+01,1.016077930481607439e+01
9.999327859903671367e+01,7.593531713071654110e+01,1.016077930481607439e+01
9.980126320856338396e+01,7.442227191089540383e+01,1.016077930481607439e+01
1.111014977478568824e+02,7.957096183371197640e+01,1.016077930481607439e+01
8.535736661535213443e+01,6.919566834657383936e+01,1.016077930481607439e+01
1.089111345196536149e+02,6.772797675087164748e+01,1.016077930481607439e+01
8.859485350530715664e+01,6.392999184770553711e+01,9.967708342884989747e+00
8.255509404451373712e+01,6.558215271683606318e+01,9.967708342884989747e+00
9.457559896876598771e+01,7.513737468198149827e+01,9.967708342884989747e+00
8.358755339911226656e+01,7.126790757646958241e+01,9.967708342884989747e+00
1.016061083084156564e+02,7.605436365090044148e+01,9.967708342884989747e+00
8.934538092099212747e+01,7.328406455886464244e+01,9.967708342884989747e+00
8.406316755824748554e+01,7.137238702470139629e+01,9.967708342884989747e+00
9.005544940035994728e+01,7.157932882497264870e+01,9.967708342884989747e+00
